date,lat,lon,tasmax,GFDL-CM4,GISS-E2-1-G,BCC-CSM2-MR,BCC-ESM1,SAM0-UNICON,CanESM5,INM-CM4-8,INM-CM5-0,GFDL-ESM4,NorESM2-LM,FGOALS-g3,FGOALS-f3-L,NorESM2-MM,KIOST-ESM,TaiESM1,NorCPM1,CMCC-ESM2
1985-02-14 12:00:00,29.500000000000004,-90.625,291.84348,291.84348,283.36646,293.58997,290.3579,294.76343,293.65576,293.87875,291.73535,290.25348,292.03677,281.26132,293.40753,293.3478,292.07098,288.06558,292.2058,286.6794
1985-02-15 12:00:00,29.500000000000004,-90.625,294.4534,294.4534,278.58997,293.25543,288.64597,294.98663,294.8906,293.81848,293.21252,290.91168,292.95914,284.9957,292.94135,285.61758,292.95676,288.48923,291.86798,287.99036
1985-02-16 12:00:00,29.500000000000004,-90.625,294.67142,294.67142,282.88913,290.40955,287.55872,295.1853,294.00348,293.95438,293.4088,291.06744,294.3358,284.66174,293.18204,289.8564,292.38675,291.33575,289.17432,289.80066
1985-02-17 12:00:00,29.500000000000004,-90.625,295.26486,295.26486,285.67996,282.96454,288.42032,294.97937,292.50223,296.1696,293.67172,293.4538,294.2369,283.74518,293.779,292.76285,292.22556,288.7318,290.1569,289.34375
1985-02-18 12:00:00,29.500000000000004,-90.625,294.0511,294.0511,286.43985,285.9022,291.6908,295.73138,293.13586,295.8741,294.21246,295.47067,295.14984,283.72522,293.66043,293.71286,292.42255,290.84534,292.68143,280.2949
1985-02-19 12:00:00,29.500000000000004,-90.625,293.50095,293.50095,287.70908,289.13504,291.4589,292.85678,293.58356,295.92374,293.1982,293.23044,294.82266,289.11432,291.40103,292.3887,290.88364,293.34323,292.91064,281.60565
1985-02-20 12:00:00,29.500000000000004,-90.625,295.53143,295.53143,290.78275,289.2954,287.47284,273.7443,293.21902,295.3899,286.66223,289.21857,295.26434,288.3505,291.1781,286.76343,293.81937,287.12036,293.34167,284.16275
1985-02-21 12:00:00,29.500000000000004,-90.625,295.85956,295.85956,290.4064,286.2874,288.75323,284.33853,289.79193,283.7302,289.3892,293.0598,295.21375,284.6254,291.79977,289.3736,293.31915,287.3575,293.4693,288.86398
1985-02-22 12:00:00,29.500000000000004,-90.625,294.45828,294.45828,286.20282,280.7267,291.60483,288.63516,289.4441,290.3137,289.3167,294.99817,296.07852,284.33572,292.9963,293.24625,290.00522,289.7614,292.52213,287.65033
1985-02-23 12:00:00,29.500000000000004,-90.625,290.33118,290.33118,288.72534,287.49802,292.15308,290.65552,288.4788,285.852,289.2944,295.0408,294.9563,285.27417,293.2513,294.09232,285.08954,292.12167,287.2392,280.79282
1985-02-24 12:00:00,29.500000000000004,-90.625,295.1195,295.1195,289.62088,288.01215,290.7297,293.2828,289.59537,286.77823,291.4442,294.52142,292.47437,290.83414,293.11682,292.5536,287.68344,290.66766,290.06888,284.23236
1985-02-25 12:00:00,29.500000000000004,-90.625,295.5627,295.5627,289.223,292.1256,290.33478,294.9453,290.8722,292.82993,293.16565,284.40112,294.27216,292.0556,292.14856,293.1817,289.23203,288.08347,292.43707,287.08826
1985-02-26 12:00:00,29.500000000000004,-90.625,295.5476,295.5476,289.83063,293.54953,289.19568,293.02948,293.73737,295.3904,293.6646,290.80255,293.48438,289.10168,291.83447,293.96017,291.18604,287.88367,292.59567,288.26953
1985-02-27 12:00:00,29.500000000000004,-90.625,295.53293,295.53293,291.0307,289.34933,285.1053,291.97833,293.86884,295.9491,294.2617,292.8646,287.93204,285.4311,292.56723,292.37213,292.93472,288.44946,291.4107,289.13556
1985-02-28 12:00:00,29.500000000000004,-90.625,292.95383,292.95383,291.47818,289.63278,286.4884,294.3799,292.39545,295.7482,294.4383,290.15692,290.7322,290.36444,292.65643,288.55753,293.8963,284.37616,282.93713,290.46292
1985-03-01 12:00:00,29.500000000000004,-90.625,291.15964,291.15964,290.90717,292.58002,288.55237,291.43997,290.7218,295.1287,294.28043,289.054,291.83737,292.26904,292.11517,289.25143,293.85696,287.3276,284.82727,291.63763
1985-03-02 12:00:00,29.500000000000004,-90.625,292.40262,292.40262,289.25638,293.64737,291.95483,291.81305,288.9632,295.13385,294.1599,286.09064,292.31976,291.6635,292.23334,292.62183,293.02316,281.29102,288.0692,289.30573
1985-03-03 12:00:00,29.500000000000004,-90.625,295.26752,295.26752,284.8515,294.9532,291.85223,293.11234,289.58746,292.186,294.74457,290.37335,293.18185,291.91602,293.2075,293.9514,293.39008,283.21136,291.7281,284.8197
1985-03-04 12:00:00,29.500000000000004,-90.625,293.81396,293.81396,289.5414,292.77145,290.98895,294.41217,292.35016,286.30704,294.7804,293.67807,293.90552,291.63837,293.15674,292.55545,293.60495,287.2574,293.58762,287.97083
1985-03-05 12:00:00,29.500000000000004,-90.625,292.42328,292.42328,289.25677,293.52344,288.53305,294.2085,292.57538,287.7333,294.95047,294.49158,294.86316,291.47202,292.62698,283.5225,292.9396,288.4094,292.75024,290.03094
