date,height,lat,lon,tas,GFDL-CM4,BCC-CSM2-MR,BCC-ESM1,CESM2-WACCM,CESM2,SAM0-UNICON,CanESM5,INM-CM4-8,INM-CM5-0,GFDL-ESM4,NorESM2-LM,FGOALS-g3,FGOALS-f3-L,NorESM2-MM,CESM2-FV2,KIOST-ESM,CMCC-CM2-SR5,TaiESM1,NorCPM1,IPSL-CM5A2-INCA,CMCC-CM2-HR4,CMCC-ESM2
1985-02-19 12:00:00,2.0,29.000000000000004,-91.25,290.4487,290.4487,281.9374,289.05,281.45065,283.25836,279.59894,292.6036,295.82907,287.53442,288.95306,293.651,286.0046,289.0201,288.0747,293.22116,289.25296,278.51053,293.34323,291.6348,284.0987,282.6772,278.73575
1985-02-20 12:00:00,2.0,29.000000000000004,-91.25,293.8833,293.8833,285.01266,286.72012,289.9055,284.8414,271.2528,290.5758,283.5432,285.30676,285.61118,293.52423,286.7404,287.61646,284.702,293.761,288.95627,276.86926,287.12036,292.23447,282.65567,285.55347,281.5361
1985-02-21 12:00:00,2.0,29.000000000000004,-91.25,293.85748,293.85748,283.49493,287.13992,286.37503,289.61313,275.5984,288.93954,282.84027,288.70325,289.32272,293.69705,282.8303,289.33078,285.62906,294.14542,287.08713,280.30237,287.3575,292.78223,286.49167,288.036,286.67447
1985-02-22 12:00:00,2.0,29.000000000000004,-91.25,287.862,287.862,276.00723,289.75156,287.57913,289.88257,282.0816,287.92148,287.82532,286.39536,292.8455,294.552,282.7465,289.80994,289.3251,293.97824,288.10718,285.63754,289.7614,289.06686,287.68124,290.28833,281.4454
1985-02-23 12:00:00,2.0,29.000000000000004,-91.25,288.16116,288.16116,279.15912,289.74713,292.75674,285.48953,284.12918,287.0326,281.8822,287.39047,293.89383,292.24445,282.6494,290.59512,290.65228,289.69284,277.51993,288.4934,292.12167,285.43118,288.1253,284.17453,278.44153
1985-02-24 12:00:00,2.0,29.000000000000004,-91.25,292.1364,292.1364,281.22803,286.13727,294.4579,283.90344,286.09155,287.89963,284.53793,291.00443,286.55472,290.94064,286.75378,290.52032,290.1286,282.968,276.5176,285.00204,290.66766,287.70422,291.0995,284.59302,280.80405
1985-02-25 12:00:00,2.0,29.000000000000004,-91.25,293.5323,293.5323,284.12625,285.90823,292.39468,286.07877,288.19385,288.77722,290.5589,292.5151,280.15906,292.28696,290.20123,288.58466,290.28488,286.26553,281.45212,280.67874,288.08347,290.36862,292.09256,286.2784,284.5132
1985-02-26 12:00:00,2.0,29.000000000000004,-91.25,293.6416,293.6416,285.797,287.1533,289.69873,290.55615,288.9033,291.69162,295.031,293.48462,285.9891,287.68463,280.61963,290.15613,291.53366,288.29065,286.94116,283.2592,287.88367,290.67722,292.3351,285.7439,285.56268
1985-02-27 12:00:00,2.0,29.000000000000004,-91.25,293.5927,293.5927,285.0437,282.35867,290.5035,292.6405,288.43317,292.51147,295.5431,294.10318,290.8074,286.57504,282.63858,291.39948,291.22934,288.38367,290.5471,287.2081,288.44946,286.12424,293.20142,284.86786,287.40576
1985-02-28 12:00:00,2.0,29.000000000000004,-91.25,290.36914,290.36914,284.55344,283.72897,291.49847,293.36356,291.0168,290.01132,293.8877,293.89566,287.3978,288.59525,286.8318,291.04205,285.38086,287.09354,294.18558,281.48495,284.37616,282.0448,290.6528,286.4137,289.72125
